Timestamp,id,title,spritePath,situation,weight,oncePerRun,cooldownTurns,minFame,maxFame,minStress,maxStress,requiresAllFlags  ,forbidsAnyFlags,choiceA_text  ,choiceA_spritePath  ,choiceA_deltaFame  ,choiceA_deltaStress  ,choiceA_setFlags  ,choiceA_clearFlags  ,choiceA_nextEventId  ,choiceA_miniGame,choiceB_text  ,choiceB_spritePath,choiceB_deltaFame  ,choiceB_deltaStress  ,choiceB_setFlags  ,choiceB_clearFlags,choiceB_nextEventId,choiceB_miniGame
10/20/2025 12:51,EVT001_VIBE,Streamer Attitude,Art/cardpicssprites/CAP_SIT001,Hmm… What kind of energy to bring to your stream right now?,,FALSE,3,,,,,,,Imma keep it chill for now.,Art/cardpicssprites/CAP_OPT001_01,5,-10,,,,,HYPE! HYPE! HYPE!,Art/cardpicssprites/CAP_OPT001_02,15,20,,,,
10/20/2025 12:56,EVT002_SCARY,Horror Game Invite,Art/cardpicssprites/CAP_SIT002,Your streamer buddy invites you to play a new co-op horror game..,,FALSE,4,,,,,,,Ofc- you hop on immediately.,Art/cardpicssprites/CAP_OPT002_01,10,5,,,,,No Bro- too scary..,Art/cardpicssprites/CAP_OPT002_02,-5,-10,,,,
10/20/2025 13:02,EVT003_GAME1,Minigame Event,Art/cardpicssprites/CAP_SIT003,You have a few bored people watching your stream right now..,,FALSE,2,,25,,,,,Play a niche indie game.,Art/cardpicssprites/CAP_OPT003_01,0,0,,,,MiniGame_Wordle,Play one of your favorite games.,Art/cardpicssprites/CAP_OPT003_02,0,0,,,,MiniGame_Clicker
10/20/2025 13:07,EVT004_SKETCH,Sketchy Brand Deal,Art/cardpicssprites/CAP_SIT004,A sketchy brand you’ve never heard of before offers you a deal.,,FALSE,3,,30,,,,,I’ll decline..,Art/cardpicssprites/CAP_OPT004_01,0,-5,,,,,Why not? I’ll do it.,Art/cardpicssprites/CAP_OPT004_02,5,10,,,,
10/20/2025 13:15,EVT005_PHONE,Phone Mom,Art/cardpicssprites/CAP_SIT005,Your Mom wants to call.. But you’re streaming..,,TRUE,0,,,,,,,Talk to her anyway,Art/cardpicssprites/CAP_OPT005_01,-5,-10,,,,,Decline her call,Art/cardpicssprites/CAP_OPT005_02,10,20,,,,
10/20/2025 15:13,EVT006_DEAL,Brand Deal,Art/cardpicssprites/CAP_SIT006,You’ve got a brand you know asking for a deal!,,FALSE,4,20,,,,,,Of course I’ll do it!,Art/cardpicssprites/CAP_OPT006_01,15,20,,,,,IDK; Maybe another time..,Art/cardpicssprites/CAP_OPT006_02,-10,-5,,,,
10/20/2025 15:28,EVT007_BEEF,Talking Trash,Art/cardpicssprites/CAP_SIT007,A popular streamer is talking trash about you on their stream..,,FALSE,4,15,,,90,,,Ragebait them even further,Art/cardpicssprites/CAP_OPT007_01,20,30,,,,,Don’t acknowledge it,Art/cardpicssprites/CAP_OPT007_02,-10,-15,,,,
10/20/2025 15:36,EVT008_GAME2,Minigame Event 2,Art/cardpicssprites/CAP_SIT008,Your fans seem a little bored right now..,,FALSE,4,50,75,,,,,Show them your godlike gamer skills,Art/cardpicssprites/CAP_OPT008_01,0,0,,,,MiniGame_Clicker,Who cares? Whatever..,Art/cardpicssprites/CAP_OPT008_02,-20,10,,,,
10/20/2025 15:42,EVT009_MAIL,Fan Mail,Art/cardpicssprites/CAP_SIT009,A fan asks for your address.. To send fanmail ofc..,,FALSE,6,25,,,,,,That’s freaky.. Nope.,Art/cardpicssprites/CAP_OPT009_01,0,0,,,,,Sure! It’s 15411 87 ave nw!!,Art/cardpicssprites/CAP_OPT009_02,10,20,,,,
10/20/2025 15:47,EVT010_CURIOUS,Curious Fans,Art/cardpicssprites/CAP_SIT010,Your fans are curious and wanna know more about you.,,TRUE,0,15,,,,,,I’ll share my spotify playlists.,Art/cardpicssprites/CAP_OPT010_01,15,0,,,,,I’ll make an Onlyfans account..,Art/cardpicssprites/CAP_OPT010_02,20,25,,,,
10/20/2025 15:54,EVT011_ACCUSE,Evil Accusation,Art/cardpicssprites/CAP_SIT011,Uh Oh! A big streamer is accusing you of being EVIL!,,FALSE,5,25,,,,,,Fight back!!,Art/cardpicssprites/CAP_OPT011_01,15,25,,,,,Oh well- Leave it be..,Art/cardpicssprites/CAP_OPT011_02,-10,10,,,,
10/20/2025 16:03,EVT012_BIGDEAL,Big brand Deal,Art/cardpicssprites/CAP_SIT012,You got a deal from a huge but controversial brand,,FALSE,3,25,,,,,,I’ll TAKE IT $$,Art/cardpicssprites/CAP_OPT012_01,-30,-10,,,,,Nah; imma call em’ out.,Art/cardpicssprites/CAP_OPT012_02,20,10,,,,
10/20/2025 16:11,EVT013_BDAY,Moms Birthday,Art/cardpicssprites/CAP_SIT013,A text from your dad says it’s your mom’s birthday..,,TRUE,0,15,,,,,,Who cares? I’m streaming rn..,Art/cardpicssprites/CAP_OPT013_01,20,10,,,,,Pause the stream and call her,Art/cardpicssprites/CAP_OPT013_02,-10,-20,,,,
10/20/2025 16:17,EVT014_GAME3,Minigame Event 3,Art/cardpicssprites/CAP_SIT014,Sheesh.. You’ve run out of ideas to please your growing fanbase,,FALSE,3,50,,,,,,I’ll play a game I like.,Art/cardpicssprites/CAP_OPT014_01,0,-5,,,,MiniGame_Wordle,I’ll play the game they asked me to,Art/cardpicssprites/CAP_OPT014_02,5,0,,,,MiniGame_Clicker
10/20/2025 16:22,EVT015_RUDE,Rude to a Fan,Art/cardpicssprites/CAP_SIT015,Yikes.. You were rude to a fan in your DMs; and they posted it..,,FALSE,5,25,,,,,,DEFEND YOURSELF!!,Art/cardpicssprites/CAP_OPT015_01,-10,20,,,,,Apologize sincerely.,Art/cardpicssprites/CAP_OPT015_02,30,-10,,,,
11/15/2025 17:18,EVT016_DADD,Dad,Art/cardpicssprites/CAP_SIT016,You've just received a text from your father telling you to get a real job. He says he's watching...,,TRUE,0,20,,,,,,Argue it is a real job!,Art/cardpicssprites/CAP_OPT016_01,10,20,DAD_MAD,,,,Invite him on!,Art/cardpicssprites/CAP_OPT016_02,-10,-30,,,,
11/15/2025 17:25,EVT017_MSO,MSchool,Art/cardpicssprites/CAP_SIT017,Dad just said he signed you up for military academy... it starts in a week.,,TRUE,0,,,,,DAD_MAD,,Time for some IRL no-scopes!,Art/cardpicssprites/CAP_OPT017_01,-30,-10,,DAD_MAD,,,Not cool dude. Sic em chat!,Art/cardpicssprites/CAP_OPT017_02,10,30,,DAD_MAD,,
11/15/2025 17:31,EVT018_INDIE,Indie,Art/cardpicssprites/CAP_SIT018,An indie dev just sent in a donation asking if you could stream their game.,,TRUE,0,20,,,,,,Yeah let's do it!,Art/cardpicssprites/CAP_OPT018_01,0,-30,DEV_GMD,,,MiniGame_Wordle,I can't give special treatment,Art/cardpicssprites/CAP_OPT018_02,10,10,DEV_NGM,,,
11/15/2025 21:12,EVT019_MASSES,Give them what they want,Art/cardpicssprites/CAP_SIT019,"There is a new trend going around online called ""glarping"". it's kind of silly but it could bring new people to the stream...",,FALSE,10,30,,,,,,Let's glarp it up!,Art/cardpicssprites/CAP_OPT019_01,30,20,GLARP,,,,I'd really rather not,Art/cardpicssprites/CAP_OPT019_02,-10,-10,,,,
11/15/2025 21:17,EVT020_ONLY,Onlyfans Fiasco,Art/cardpicssprites/CAP_SIT020,Your Onlyfans is more popular than it has any right to. Your sister is threatening to tell the rest of the family. Chat wonders how you'll respond.,,TRUE,0,50,,,,ONLYFANS,,Ask if she wants to join,Art/cardpicssprites/CAP_OPT020_01,50,50,WASTED,,,,Quick! Hide the evidence!,Art/cardpicssprites/CAP_OPT020_02,-10,30,,,,
